,Keyword,avg_searches,Competition,competition_index
0,servicios financieros,5000.0,Bajo,5.0
1,asesores financieros,500.0,Bajo,23.0
2,inversiones financieras,500.0,Bajo,20.0
3,asesor financiero personal,500.0,Bajo,24.0
4,analisis financiero,5000.0,Bajo,3.0
5,consultoria financiera,500.0,Bajo,20.0
6,entidades financieras,500.0,Bajo,6.0
7,auditoria financiera,500.0,Bajo,10.0
8,creditos financieros,500.0,Bajo,31.0
9,financieros,5000.0,Bajo,2.0
10,banco financiero,500.0,Bajo,9.0
11,crédito financiero,500.0,Bajo,31.0
12,gestion contable y financiera,500.0,Bajo,15.0
13,contabilidad administrativa y financiera,500.0,Bajo,9.0
14,fondos financieros,500.0,Bajo,2.0
15,gestion bancaria y de entidades financieras,500.0,Bajo,20.0
16,adelante soluciones financiera,500.0,Bajo,2.0
17,auxiliar financiero,500.0,Bajo,3.0
18,contable financiero,500.0,Bajo,5.0
19,defensoria financiera,500.0,Bajo,5.0
20,establecimiento de crédito,500.0,Bajo,1.0
21,estados financieros nutresa,500.0,Bajo,3.0
22,financieras colombianas,500.0,Bajo,22.0
23,financiero banco,500.0,Bajo,9.0
24,gestion financiera que es,500.0,Bajo,1.0
25,gestión bancaria y de entidades financieras sena,500.0,Bajo,11.0
26,instituciones financiera,5000.0,Bajo,2.0
27,planificadores financieros,500.0,Medio,37.0
28,proyectos financieros,500.0,Bajo,2.0
29,soluciones financieras sas,500.0,Bajo,9.0
